4|1|1|1|1|1|1|2
5|1|2|1|1|0|0|2
6|1|3|1|0|0|0|2
125|6|1|1|0|0|0|1
126|6|2|1|0|0|0|1
127|6|3|1|0|0|0|1
128|6|4|1|0|0|0|1
129|6|5|1|0|0|0|1
130|6|6|1|0|0|0|1
131|6|7|1|0|0|0|1
132|6|8|1|0|0|0|1
133|6|9|1|0|0|0|1
134|6|11|1|0|0|0|1
135|6|12|1|0|0|0|1
136|6|13|1|0|0|0|1
137|6|14|1|0|0|0|1
138|6|15|1|0|0|0|1
139|6|16|1|0|0|0|1
140|6|17|1|0|0|0|1
141|6|20|1|0|0|0|1
142|6|21|1|0|0|0|1
143|6|10|1|0|0|0|1
144|6|18|1|0|0|0|1
145|6|19|1|0|0|0|1
175|4|1|1|0|0|0|1
176|4|2|1|0|0|0|1
177|4|3|1|0|0|0|1
178|4|4|1|0|0|0|1
179|4|5|1|0|0|0|1
180|4|6|1|0|0|0|1
181|4|7|1|0|0|0|1
182|4|8|1|0|0|0|1
183|4|9|1|0|0|0|1
184|4|10|1|0|0|0|1
185|4|11|1|0|0|0|1
186|4|12|1|0|0|0|1
187|4|13|1|0|0|0|1
188|4|14|1|0|0|0|1
189|4|15|1|0|0|0|1
190|4|16|1|0|0|0|1
191|4|17|1|0|0|0|1
192|4|18|1|0|0|0|1
193|4|19|1|0|0|0|1
194|4|20|1|0|0|0|1
195|4|21|1|0|0|0|1
196|4|22|1|0|0|0|1
276|2|1|1|1|1|1|1
277|2|2|1|1|1|1|1
278|2|3|1|1|1|1|1
279|2|4|1|1|1|1|1
280|2|5|1|1|1|1|1
281|2|6|1|1|1|1|1
282|2|7|1|1|1|1|1
283|2|8|1|1|1|1|1
284|2|9|1|1|1|1|1
285|2|10|1|1|1|1|1
286|2|11|1|1|1|1|1
287|2|12|1|1|1|1|1
288|2|13|1|1|1|1|1
289|2|14|1|1|1|1|1
290|2|15|1|1|1|1|1
291|2|16|1|1|1|1|1
292|2|17|1|1|1|1|1
293|2|18|1|1|1|1|1
294|2|19|1|1|1|1|1
295|2|20|1|1|1|1|1
296|2|21|1|1|1|1|1
297|2|22|1|1|1|1|1
298|2|23|1|1|1|1|1
299|2|25|1|1|1|1|1
300|2|27|1|1|1|1|1
301|2|28|1|1|1|1|1
302|2|29|1|1|1|1|1
303|2|30|1|1|1|1|1
304|2|31|1|1|1|1|1
305|2|32|1|1|1|1|1
306|2|33|1|1|1|1|1
307|2|34|1|1|1|1|1
308|2|35|1|1|1|1|1
309|2|36|1|1|1|1|1
310|2|37|1|1|1|1|1
311|2|38|1|1|1|1|1
312|2|39|1|1|1|1|1
313|2|40|1|1|1|1|1
314|2|41|1|1|1|1|1
315|2|42|1|1|1|1|1
316|2|43|1|1|1|1|1
317|2|44|1|1|1|1|1
318|2|45|1|1|1|1|1
319|2|46|1|1|1|1|1
320|2|47|1|1|1|1|1
321|1|1|1|1|1|1|1
322|1|2|1|1|1|1|1
323|1|3|1|1|1|1|1
324|1|6|1|1|1|1|1
325|5|1|1|1|1|1|1
326|5|8|1|1|0|0|1
327|5|9|1|1|0|0|1
328|5|10|1|1|0|0|1
329|5|11|1|1|0|0|1
330|5|12|1|1|0|0|1
331|5|13|1|1|0|0|1
332|5|14|1|1|0|0|1
333|5|15|1|1|0|0|1
334|5|22|1|0|0|0|1
1276|3|1|1|1|1|1|1
1277|3|2|1|1|0|0|1
1278|3|3|1|0|0|0|1
1279|3|4|1|0|0|0|1
1280|3|5|1|0|0|0|1
1281|3|6|1|1|0|0|1
1282|3|7|1|1|0|0|1
1283|3|8|1|1|0|0|1
1284|3|9|1|1|0|0|1
1285|3|10|1|1|0|0|1
1286|3|11|1|1|0|0|1
1287|3|12|1|1|0|0|1
1288|3|13|1|1|0|0|1
1289|3|14|1|1|0|0|1
1290|3|15|1|1|0|0|1
1291|3|16|1|1|0|0|1
1292|3|17|1|1|0|0|1
1293|3|18|1|1|0|0|1
1294|3|19|1|1|0|0|1
1295|3|20|1|1|0|0|1
1296|3|21|1|1|0|0|1
