1|1||17|2026-05-02 00:00:00.000|600000.00|.00|Purchase #1 - Purchase amount|1|2026-05-02 11:25:26.323|1
2|1||35|2026-05-02 00:00:00.000|.00|600000.00|Purchase #1 - Credit to HONDA MOTORS|1|2026-05-02 11:25:26.330|1
3|1||35|2026-05-02 00:00:00.000|60000.00|.00|Purchase Return #1 - Debit to HONDA MOTORS|1|2026-05-02 11:26:34.940|2
4|1||18|2026-05-02 00:00:00.000|.00|60000.00|Purchase Return #1 - Purchase return credit|1|2026-05-02 11:26:34.943|2
5|1||37|2026-05-02 00:00:00.000|70000.00|.00|Sale #1 - Sale to Faheem Autos|1|2026-05-02 11:43:52.600|3
6|1||12|2026-05-02 00:00:00.000|.00|70000.00|Sale #1 - Sales revenue|1|2026-05-02 11:43:52.630|3
7|1||37|2026-05-02 00:00:00.000|12000.00|.00|Sale #2 - Sale to Faheem Autos|1|2026-05-02 11:44:32.843|4
8|1||12|2026-05-02 00:00:00.000|.00|12000.00|Sale #2 - Sales revenue|1|2026-05-02 11:44:32.847|4
9|1||36|2026-05-02 00:00:00.000|6000.00|.00|Sale Return #1 - Sales return|1|2026-05-02 11:44:45.373|5
10|1||37|2026-05-02 00:00:00.000|.00|6000.00|Sale Return #1 - Credit to Faheem Autos|1|2026-05-02 11:44:45.377|5
16|1||38|2026-05-02 00:00:00.000|20000.00|.00|Opening Balance as on 2026-05-02|1|2026-05-02 21:26:07.290|
43|1||25|2026-05-03 00:00:00.000|500.00|.00|Receiving #BR001/REC/202605/00001 - Cash from Faheem Autos|1|2026-05-03 12:42:10.200|14
44|1||37|2026-05-03 00:00:00.000|.00|500.00|Receiving #BR001/REC/202605/00001 - Cash from Faheem Autos|1|2026-05-03 12:42:10.203|14
45|1||25|2026-05-03 00:00:00.000|300.00|.00|Receiving #BR001/REC/202605/00002 - Cash from Faheem Autos|1|2026-05-03 12:42:52.523|15
46|1||25|2026-05-03 00:00:00.000|300.00|.00|Receiving #BR001/REC/202605/00002 - Cheque #545454 TTT from Faheem Autos|1|2026-05-03 12:42:52.523|15
47|1||37|2026-05-03 00:00:00.000|.00|300.00|Receiving #BR001/REC/202605/00002 - Cash from Faheem Autos|1|2026-05-03 12:42:52.523|15
48|1||37|2026-05-03 00:00:00.000|.00|300.00|Receiving #BR001/REC/202605/00002 - Cheque #545454 TTT from Faheem Autos|1|2026-05-03 12:42:52.527|15
51|1||35|2026-05-03 00:00:00.000|4000.00|.00|Payment #BR001/PAY/202605/00001 - Cash to HONDA MOTORS|1|2026-05-03 12:44:37.687|16
52|1||25|2026-05-03 00:00:00.000|.00|4000.00|Payment #BR001/PAY/202605/00001 - Cash paid to HONDA MOTORS|1|2026-05-03 12:44:37.687|16
57|1||35|2026-05-03 00:00:00.000|5000.00|.00|Payment #BR001/PAY/202605/00001 - Cash to HONDA MOTORS|1|2026-05-03 12:45:13.907|17
58|1||35|2026-05-03 00:00:00.000|5000.00|.00|Payment #BR001/PAY/202605/00001 - Cheque #7777 to HONDA MOTORS|1|2026-05-03 12:45:13.907|17
59|1||25|2026-05-03 00:00:00.000|.00|5000.00|Payment #BR001/PAY/202605/00001 - Cash paid to HONDA MOTORS|1|2026-05-03 12:45:13.907|17
60|1||39|2026-05-03 00:00:00.000|.00|5000.00|Payment #BR001/PAY/202605/00001 - Cheque #7777 paid to HONDA MOTORS|1|2026-05-03 12:45:13.907|17
61|1||35|2026-05-03 00:00:00.000|200.00|.00|Payment #BR001/PAY/202605/00001 - Cash to HONDA MOTORS|1|2026-05-03 13:09:38.593|18
62|1||35|2026-05-03 00:00:00.000|200.00|.00|Payment #BR001/PAY/202605/00001 - Cheque #8888 to HONDA MOTORS|1|2026-05-03 13:09:38.600|18
63|1||25|2026-05-03 00:00:00.000|.00|200.00|Payment #BR001/PAY/202605/00001 - Cash paid to HONDA MOTORS|1|2026-05-03 13:09:38.600|18
64|1||39|2026-05-03 00:00:00.000|.00|200.00|Payment #BR001/PAY/202605/00001 - Cheque #8888 paid to HONDA MOTORS|1|2026-05-03 13:09:38.600|18
65|1||38|2026-05-03 00:00:00.000|7000.00|.00|Payment #BR001/PAY/202605/00001 - Cash to Al Barka Bank|1|2026-05-03 13:54:12.170|19
66|1||38|2026-05-03 00:00:00.000|13000.00|.00|Payment #BR001/PAY/202605/00001 - Cheque #565556 to Al Barka Bank|1|2026-05-03 13:54:12.183|19
67|1||25|2026-05-03 00:00:00.000|.00|7000.00|Payment #BR001/PAY/202605/00001 - Cash paid to Al Barka Bank|1|2026-05-03 13:54:12.183|19
68|1||39|2026-05-03 00:00:00.000|.00|13000.00|Payment #BR001/PAY/202605/00001 - Cheque #565556 paid to Al Barka Bank|1|2026-05-03 13:54:12.183|19
69|1||25|2026-05-03 00:00:00.000|8000.00|.00|Receiving #BR001/REC/202605/00003 - Cash from Al Barka Bank|1|2026-05-03 14:10:50.657|20
70|1||38|2026-05-03 00:00:00.000|.00|8000.00|Receiving #BR001/REC/202605/00003 - Cash from Al Barka Bank|1|2026-05-03 14:10:50.657|20
71|1||17|2026-05-04 00:00:00.000|2750000.00|.00|Purchase #2 - Purchase amount|1|2026-05-04 11:57:24.417|21
72|1||30|2026-05-04 00:00:00.000|.00|2750000.00|Purchase #2 - Credit to General Supplier|1|2026-05-04 11:57:24.450|21
73|1||17|2026-05-04 00:00:00.000|12500.00|.00|Purchase #3 - Purchase amount|1|2026-05-04 12:27:29.483|22
74|1||30|2026-05-04 00:00:00.000|.00|12500.00|Purchase #3 - Credit to General Supplier|1|2026-05-04 12:27:29.510|22
75|1||17|2026-05-10 00:00:00.000|2200.00|.00|Purchase #4 - Purchase amount|1|2026-05-10 15:06:31.007|23
76|1||35|2026-05-10 00:00:00.000|.00|2200.00|Purchase #4 - Credit to HONDA MOTORS|1|2026-05-10 15:06:31.043|23
77|1||17|2026-05-11 00:00:00.000|55000000.00|.00|Purchase #5 - Purchase amount|1|2026-05-11 17:02:49.893|24
78|1||30|2026-05-11 00:00:00.000|.00|55000000.00|Purchase #5 - Credit to General Supplier|1|2026-05-11 17:02:49.957|24
79|1||17|2026-05-16 00:00:00.000|4125000.00|.00|Purchase #6 - Purchase amount|1|2026-05-16 12:01:37.597|25
80|1||35|2026-05-16 00:00:00.000|.00|4125000.00|Purchase #6 - Credit to HONDA MOTORS|1|2026-05-16 12:01:37.630|25
81|1||17|2026-05-16 00:00:00.000|100000.00|.00|Purchase #7 - Purchase amount|1|2026-05-16 12:09:05.137|26
82|1||40|2026-05-16 00:00:00.000|.00|100000.00|Purchase #7 - Credit to Cash Purchase|1|2026-05-16 12:09:05.143|26
