3|3|8||20.0|85000.0|1700000.0|||||1|||
1001|1001|1015||2.0|6000.0|12000.0|||||1|||
1003|1003|7||1.0|70000.0|70000.0|||||1|||
1005|1004|1015||1.0|6000.0|6000.0|||||1|||
1006|1005|1020||1.0|50.0|50.0|||||1|||
1012|1007|1020||10.0|50.0|500.0|||||1|||
1013|1008|1018||5.0|4000.0|20000.0|||||1|||
1015|1009|1018||1.0|4000.0|4000.0|||||1|||
1017|1011|11||5.0|2200.0|11000.0|||||3|||
1018|1012|1018||5.0|6500.0|32500.0|||||3|||
1022|1013|1018||5.0|7500.0|37500.0|||||3|||
1002|1002|1015||5.0|6000.0|30000.0|||||1|||
1|1|16||5.0|52000.0|260000.0|||||1|||
2|2|16||10.0|52000.0|520000.0|||||1|||
1010|1006|1015||1.0|6000.0|6000.0|||||1|||
1011|1006|4||1.0|275000.0|275000.0|||||1|||
1016|1010|1020||2.0|50.0|100.0|||||3|||
