14|1017|3|5.00|2026-04-14 15:06:09.820
27|1016|3|2.00|2026-04-18 16:50:34.043
28|1016|1|2.00|2026-04-18 16:50:34.043
29|1016|2|2.00|2026-04-18 16:50:34.043
30|1016|4|20.00|2026-04-18 16:50:34.043
43|1019|3|5.00|2026-04-20 17:17:40.280
62|1021|3|10.00|2026-04-24 18:31:15.613
63|1020|3|6.00|2026-04-24 18:54:44.433
74|1018|3|1.00|2026-04-26 16:27:57.253
75|1018|1|1.00|2026-04-26 16:27:57.253
76|1018|2|1.00|2026-04-26 16:27:57.253
77|1018|5|1.00|2026-04-26 16:27:57.253
78|1018|4|11.00|2026-04-26 16:27:57.253
83|1022|3|5.00|2026-05-02 11:16:29.377
88|1023|3|5.00|2026-05-06 11:46:35.777
92|1024|3|10.00|2026-05-06 18:03:44.437
